growth_stage,model,f1,balanced_accuracy,rows
germination,stage,1.0,1.0,31
germination,main,0.4,0.625,31
germination,ensemble,1.0,1.0,31
vegetative,stage,0.0,0.5,30
vegetative,main,0.3333333333333333,0.6,30
vegetative,ensemble,0.3333333333333333,0.6,30
flowering,stage,0.8888888888888888,0.9206349206349206,30
flowering,main,0.6153846153846154,0.7222222222222222,30
flowering,ensemble,0.8888888888888888,0.9206349206349206,30
harvest,stage,0.316172722638899,0.48369845729511296,99910
harvest,main,0.11704362052574561,0.5009370117430471,99910
harvest,ensemble,0.3242775566707043,0.4863614261542105,99910
