soil_moisture,temperature,soil_humidity,Time,air_temp,wind_speed,air_humidity,wind_gust,pressure_kpa,ph,rainfall,nitrogen,phosphorus,potassium,Status,needs_water,status_label,client_id,timestamp,hour,dayofyear
51.0,36.0,22.0,25.0,,,,,,,,,,,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000025,0.0,1.0
19.0,39.0,21.0,69.0,,,,,,,,,,,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000069,0.0,1.0
60.0,22.0,62.0,84.0,,,,,,,,,,,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000084,0.0,1.0
55.0,20.0,65.0,100.0,,,,,,,,,,,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000100,0.0,1.0
5.0,21.0,60.0,49.0,17.97,7.44,79.59,42.13,101.23,,,,,,ON,1.0,ON,2.0,1970-01-01 00:00:00.000000049,0.0,1.0
74.0,20.0,39.0,93.0,23.21,16.22,61.91,80.0,101.01,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000093,0.0,1.0
80.0,38.0,34.0,4.0,,,,,,,,,,,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000004,0.0,1.0
90.0,34.0,33.0,75.0,,,,,,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000075,0.0,1.0
33.0,44.0,30.0,27.0,,,,,,,,,,,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000027,0.0,1.0
7.0,10.0,24.0,39.0,,,,,,,,,,,ON,1.0,ON,2.0,1970-01-01 00:00:00.000000039,0.0,1.0
88.0,1.0,33.0,91.0,,,,,,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000091,0.0,1.0
35.0,39.0,55.0,69.0,,,,,,,,,,,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000069,0.0,1.0
38.0,2.0,34.0,8.0,,,,,,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000008,0.0,1.0
34.0,38.0,61.0,64.0,,,,,,,,,,,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000064,0.0,1.0
50.0,34.0,37.0,16.0,,,,,,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000016,0.0,1.0
5.0,33.0,26.0,98.0,18.7,6.88,96.0,23.76,101.2,,,,,,OFF,1.0,OFF,0.0,1970-01-01 00:00:00.000000098,0.0,1.0
69.0,44.0,30.0,103.0,,,,,,,,,,,OFF,0.0,OFF,3.0,1970-01-01 00:00:00.000000103,0.0,1.0
26.0,23.0,65.0,24.0,,,,,,,,,,,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000024,0.0,1.0
34.0,32.0,68.0,39.0,,,,,,,,,,,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000039,0.0,1.0
12.0,26.0,51.0,76.0,,,,,,,,,,,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000076,0.0,1.0
72.0,30.0,43.0,95.0,23.64,13.57,79.1,29.27,100.89,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000095,0.0,1.0
11.0,38.0,34.0,6.0,,,,,,,,,,,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000006,0.0,1.0
51.0,21.0,51.0,60.0,,,,,,,,,,,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000060,0.0,1.0
50.0,24.0,55.0,21.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000021,0.0,1.0
5.0,12.0,38.0,58.0,28.92,5.6,52.9,23.53,100.99,,,,,,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000058,0.0,1.0
16.0,2.0,38.0,75.0,,,,,,,,,,,ON,1.0,ON,4.0,1970-01-01 00:00:00.000000075,0.0,1.0
10.0,10.0,41.0,40.0,18.0,11.09,96.0,22.86,100.96,,,,,,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000040,0.0,1.0
68.0,22.0,52.0,8.0,17.76,2.9,38.67,9.66,101.64,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000008,0.0,1.0
77.0,0.0,57.0,31.0,,,,,,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000031,0.0,1.0
8.0,5.0,41.0,42.0,,,,,,,,,,,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000042,0.0,1.0
3.0,4.0,45.0,65.0,,,,,,,,,,,ON,1.0,ON,2.0,1970-01-01 00:00:00.000000065,0.0,1.0
23.0,1.0,69.0,107.0,,,,,,,,,,,OFF,1.0,OFF,1.0,1970-01-01 00:00:00.000000107,0.0,1.0
2.0,5.0,68.0,69.0,,,,,,,,,,,ON,1.0,ON,2.0,1970-01-01 00:00:00.000000069,0.0,1.0
8.0,7.0,40.0,21.0,,,,,,,,,,,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000021,0.0,1.0
59.0,37.0,23.0,74.0,38.61,7.7,21.96,50.0,101.19,,,,,,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000074,0.0,1.0
25.0,38.0,22.0,1.0,,,,,,,,,,,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000001,0.0,1.0
49.0,4.0,69.0,12.0,,,,,,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000012,0.0,1.0
4.0,38.0,23.0,60.0,,,,,,,,,,,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000060,0.0,1.0
10.0,35.0,63.0,52.0,,,,,,,,,,,ON,1.0,ON,4.0,1970-01-01 00:00:00.000000052,0.0,1.0
75.0,27.0,25.0,48.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000048,0.0,1.0
42.0,33.0,21.0,57.0,,,,,,,,,,,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000057,0.0,1.0
57.0,21.0,30.0,12.0,34.82,12.08,6.31,60.0,101.74,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000012,0.0,1.0
18.0,35.0,61.0,71.0,,,,,,,,,,,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000071,0.0,1.0
73.0,24.0,52.0,51.0,,,,,,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000051,0.0,1.0
40.0,38.0,56.0,73.0,17.4,6.47,86.75,22.18,101.01,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000073,0.0,1.0
52.0,36.0,40.0,105.0,,,,,,,,,,,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000105,0.0,1.0
23.0,10.0,70.0,60.0,20.9,11.04,73.71,55.81,101.15,,,,,,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000060,0.0,1.0
5.0,3.0,54.0,60.0,,,,,,,,,,,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000060,0.0,1.0
19.0,31.0,44.0,9.0,,,,,,,,,,,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000009,0.0,1.0
43.0,29.0,26.0,93.0,,,,,,,,,,,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000093,0.0,1.0
65.0,4.0,23.0,101.0,19.61,14.29,72.84,75.39,101.03,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000101,0.0,1.0
52.0,7.0,69.0,52.0,36.07,8.96,1.78,52.17,101.24,,,,,,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000052,0.0,1.0
16.0,22.0,61.0,22.0,,,,,,,,,,,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000022,0.0,1.0
62.0,37.0,70.0,13.0,39.88,9.6,23.2,44.08,101.11,,,,,,OFF,1.0,OFF,1.0,1970-01-01 00:00:00.000000013,0.0,1.0
49.0,30.0,67.0,96.0,,,,,,,,,,,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000096,0.0,1.0
40.0,20.0,27.0,20.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000020,0.0,1.0
8.0,19.0,60.0,92.0,,,,,,,,,,,OFF,1.0,OFF,4.0,1970-01-01 00:00:00.000000092,0.0,1.0
83.0,4.0,50.0,41.0,19.49,8.24,71.95,46.15,101.2,,,,,,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000041,0.0,1.0
21.0,45.0,67.0,62.0,,,,,,,,,,,ON,1.0,ON,4.0,1970-01-01 00:00:00.000000062,0.0,1.0
2.0,17.0,36.0,40.0,,,,,,,,,,,ON,1.0,ON,4.0,1970-01-01 00:00:00.000000040,0.0,1.0
37.0,43.0,25.0,24.0,,,,,,,,,,,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000024,0.0,1.0
82.0,15.0,69.0,71.0,,,,,,,,,,,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000071,0.0,1.0
46.0,11.0,29.0,32.0,17.8,10.21,96.0,22.76,100.74,,,,,,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000032,0.0,1.0
23.0,23.0,69.0,17.0,35.27,9.58,39.39,53.53,100.9,,,,,,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000017,0.0,1.0
37.0,12.0,27.0,74.0,,,,,,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000074,0.0,1.0
28.0,42.0,54.0,10.0,33.61,11.06,4.98,60.0,101.18,,,,,,ON,1.0,ON,1.0,1970-01-01 00:00:00.000000010,0.0,1.0
67.0,38.0,44.0,102.0,,,,,,,,,,,OFF,0.0,OFF,1.0,1970-01-01 00:00:00.000000102,0.0,1.0
25.0,17.0,29.0,25.0,,,,,,,,,,,ON,1.0,ON,4.0,1970-01-01 00:00:00.000000025,0.0,1.0
25.0,10.0,46.0,93.0,27.88,15.3,42.2,67.14,100.95,,,,,,OFF,1.0,OFF,1.0,1970-01-01 00:00:00.000000093,0.0,1.0
36.0,8.0,31.0,16.0,,,,,,,,,,,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000016,0.0,1.0
74.0,10.0,65.0,98.0,,,,,,,,,,,OFF,0.0,OFF,0.0,1970-01-01 00:00:00.000000098,0.0,1.0
57.0,43.0,47.0,52.0,,,,,,,,,,,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000052,0.0,1.0
67.0,35.0,37.0,79.0,,,,,,,,,,,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000079,0.0,1.0
29.0,19.0,68.0,57.0,,,,,,,,,,,ON,1.0,ON,0.0,1970-01-01 00:00:00.000000057,0.0,1.0
