soil_moisture,temperature,soil_humidity,Time,air_temp,wind_speed,air_humidity,wind_gust,pressure_kpa,ph,rainfall,nitrogen,phosphorus,potassium,Status,needs_water,status_label,client_id,timestamp,hour,dayofyear,sowing_date,current_date,days_after_sowing,growth_stage
54,22,70,21,19.52,2.13,55.04,6.3,101.5,6.502985292,202.9355362,90.0,42.0,43.0,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000021,0.0,1.0,2024-01-01,2024-01-01,0,germination
12,20,40,104,19.49,2.01,55.17,10.46,101.5,7.038096361,226.6555374,85.0,58.0,41.0,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000104,0.0,1.0,2024-01-01,2024-01-02,1,germination
34,26,35,62,19.47,1.9,55.3,14.63,101.51,7.840207144,263.9642476,60.0,55.0,44.0,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000062,0.0,1.0,2024-01-01,2024-01-03,2,germination
7,44,44,93,19.54,2.28,54.2,16.08,101.51,6.980400905,242.8640342,74.0,35.0,40.0,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000093,0.0,1.0,2024-01-01,2024-01-04,3,germination
50,38,23,92,19.61,2.66,53.09,17.52,101.51,7.628472891,262.7173405,78.0,42.0,42.0,OFF,0.0,OFF,4.0,1970-01-01 00:00:00.000000092,0.0,1.0,2024-01-01,2024-01-05,4,germination
4,26,52,6,19.67,2.51,51.91,14.69,101.51,7.073453503,251.0549998,69.0,37.0,42.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000006,0.0,1.0,2024-01-01,2024-01-06,5,germination
15,34,58,82,19.74,2.36,50.72,11.85,101.5,5.70080568,271.3248604,69.0,55.0,38.0,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000082,0.0,1.0,2024-01-01,2024-01-07,6,germination
45,30,43,85,19.8,2.21,49.54,9.02,101.5,5.718627178,241.9741949,94.0,53.0,40.0,ON,0.0,ON,2.0,1970-01-01 00:00:00.000000085,0.0,1.0,2024-01-01,2024-01-08,7,germination
47,4,42,2,19.91,2.46,47.7,7.23,101.5,6.685346424,230.4462359,89.0,54.0,38.0,OFF,0.0,OFF,2.0,1970-01-01 00:00:00.000000002,0.0,1.0,2024-01-01,2024-01-09,8,germination
19,41,22,0,20.02,2.71,45.86,5.44,101.5,6.336253525,221.2091958,68.0,58.0,38.0,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000000,0.0,1.0,2024-01-01,2024-01-10,9,germination
63,44,65,75,20.1,2.8,44.76,6.29,101.5,5.386167788,264.6148697,91.0,53.0,40.0,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000075,0.0,1.0,2024-01-01,2024-01-11,10,germination
88,34,41,71,20.19,2.89,43.67,7.14,101.49,7.50283396,250.0832336,90.0,46.0,42.0,ON,1.0,ON,2.0,1970-01-01 00:00:00.000000071,0.0,1.0,2024-01-01,2024-01-12,11,germination
39,20,70,82,20.3,3.0,42.56,11.96,101.49,5.108681786,284.4364567,78.0,58.0,44.0,ON,0.0,ON,4.0,1970-01-01 00:00:00.000000082,0.0,1.0,2024-01-01,2024-01-13,12,germination
65,43,44,93,20.41,3.11,41.44,16.78,101.49,6.98435366,185.2773389,93.0,56.0,36.0,OFF,1.0,OFF,1.0,1970-01-01 00:00:00.000000093,0.0,1.0,2024-01-01,2024-01-14,13,germination
50,27,50,4,20.41,3.5,41.58,17.48,101.48,6.94801983,209.5869708,94.0,50.0,37.0,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000004,0.0,1.0,2024-01-01,2024-01-15,14,germination
39,22,48,80,20.41,3.9,41.71,18.18,101.48,7.042299069,231.0863347,60.0,48.0,39.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000080,0.0,1.0,2024-01-01,2024-01-16,15,germination
18,33,44,74,20.61,4.74,40.34,23.04,101.48,6.249050656,276.6552459,85.0,38.0,41.0,ON,0.0,ON,3.0,1970-01-01 00:00:00.000000074,0.0,1.0,2024-01-01,2024-01-17,16,germination
66,43,35,64,20.81,5.58,38.96,27.91,101.48,6.970859754,206.2611855,91.0,35.0,39.0,ON,1.0,ON,4.0,1970-01-01 00:00:00.000000064,0.0,1.0,2024-01-01,2024-01-18,17,germination
68,25,59,3,20.93,5.74,37.33,26.29,101.48,5.953933276,224.5550169,77.0,38.0,36.0,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000003,0.0,1.0,2024-01-01,2024-01-19,18,germination
20,36,53,74,21.06,5.89,35.69,24.67,101.48,5.85393208,291.2986618,88.0,35.0,40.0,ON,1.0,ON,3.0,1970-01-01 00:00:00.000000074,0.0,1.0,2024-01-01,2024-01-20,19,germination
40,17,35,70,21.18,6.04,34.06,23.05,101.47,6.442475375,185.4974732,89.0,45.0,36.0,ON,0.0,ON,1.0,1970-01-01 00:00:00.000000070,0.0,1.0,2024-01-01,2024-01-21,20,germination
2,34,64,101,21.3,6.2,32.42,21.43,101.47,5.070175667,231.3843163,76.0,40.0,43.0,OFF,1.0,OFF,4.0,1970-01-01 00:00:00.000000101,0.0,1.0,2024-01-01,2024-01-22,21,germination
22,35,32,109,21.35,6.06,31.07,21.84,101.46,6.012632591,213.3560921,67.0,59.0,41.0,OFF,1.0,OFF,3.0,1970-01-01 00:00:00.000000109,0.0,1.0,2024-01-01,2024-01-23,22,germination
1,19,70,56,21.4,5.93,29.72,22.26,101.46,6.254028451,233.1075816,83.0,41.0,43.0,ON,0.0,ON,0.0,1970-01-01 00:00:00.000000056,0.0,1.0,2024-01-01,2024-01-24,23,germination
